,Minimum Temp,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,12.8,15.2,14.5,16.2,25,20.8,27.8,27.3,24.5,25.2,23.1,15.8
2,13.2,13.8,163.8,16.4,24.2,20.2,27.2,26.8,25.5,25.3,22.4,15.8
3,13.5,13.5,17.8,21.3,23.2,20.8,27.8,28.5,26.2,25.2,22.3,16.8
4,15.5,14.2,19.2,21.2,26.5,21.5,26.1,27.2,28.2,26.2,22.7,16.7
5,12.8,14.5,21.2,19.2,25.8,21.1,25.8,27.8,27.5,28.5,22.5,15.8
6,13.2,14.2,19,19,26.8,21.3,25.5,27.8,26.8,25.2,22.6,18.8
7,12.8,14.8,18,19.5,24.8,23.7,25.5,27.6,26.5,25.8,23.2,16.2
8,13.2,15.2,16.8,18.8,27.2,16.5,26.2,26.2,26.2,23.2,22.3,16.8
9,15.7,13.5,15.8,22.2,27.8,17.5,24.8,26.8,25.8,24.8,21.5,16.2
10,12.2,12.8,21.5,24.8,22.3,28.8,25.1,26.5,25.8,24.2,22.2,15.2
11,12.8,15.2,20.2,19.8,22,27.8,24.8,26.3,24.8,23.8,21.5,14.7
12,12.8,15.8,20.8,21.8,22.8,25.5,24.2,25.5,25.2,24.5,22.2,14.8
13,13.5,15.8,20,21.8,23.8,24.3,23.5,26.1,25.5,25.8,22.1,15.8
14,12.8,15.5,22.2,20.5,24.8,24.8,24.2,26.2,26.8,24.5,21.6,15.3
15,14.5,15.6,19,22.5,25.1,25.5,26.8,25.2,25.5,23.8,20.8,14.9
16,14.7,13.4,19.1,24.5,25.3,26.5,27.8,25.8,26.2,26.2,20.5,15.6
17,13.8,16.5,19.4,24.3,20.2,27.8,27.3,26.2,27.2,25.5,20.5,14.8
18,14.2,17.5,19.2,23.8,25.5,28.2,25.5,26.8,26.8,25.8,20.1,14.8
19,13.5,16.8,19.6,21.2,23.8,27.8,25.5,28.2,27.2,26.2,19.3,15.9
20,14.8,16.2,19.8,21.8,22.2,27.5,29.5,27.5,25.5,25.8,19.3,14.8
21,14.5,17.8,19.8,22.2,23.8,28.2,26.8,27.4,25.8,25.2,18.6,13.8
22,14.2,18.8,19.5,23.5,22.8,27.5,25.5,25.5,24.2,22.4,18.5,12.8
23,15.1,17.8,19.2,26.2,21.8,28.8,26.3,26.2,23.2,23.1,19.2,14.5
24,15.8,17.5,19.4,26.1,24.8,28.5,25.8,26.5,24.2,24.2,19.3,13.1
25,16.5,17.2,19,26.5,23.5,24.8,27.5,27.5,25.5,23.2,19.2,12.5
26,18.8,17.2,19.2,25.8,22.5,25.4,28.5,27.2,25.5,22.5,19.3,12.5
27,17.2,17.8,19.4,23.8,25.8,24.5,27.8,27.2,25.8,23.6,19.2,11.8
28,12.2,12.2,15.7,27.2,26.2,27.5,26.2,26.8,23.8,25.2,18.9,12.5
29,12.8,,22,27.6,26.8,28.2,25.8,26.2,24.8,24.7,18.8,17.8
30,14.5,,23,27.1,22.8,27.5,26.5,26.2,24.2,23.8,16.5,17.5
31,14.2,,21.5,,21.2,,27.8,25.8,,23.7,,15.8
