,Sunshine,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,7.1,6.5,8.7,10.1,3.2,6.2,,,,,,
2,6.7,9.1,8,8.9,4.4,5.6,,,,,,
3,0,8.1,5,7.8,3.1,5.2,,,,,,
4,5.6,8.1,8.5,8.1,7.7,4.3,,,,,,
5,2.9,7.6,7.5,9,7.6,0,,,,,,
6,5.1,9,7.7,10.2,0,6.2,,,,,,
7,0,6.1,0,9.1,9.5,6.5,,,,,,
8,3.2,3.9,5.9,9,7.5,6,,,,,,
9,5.1,6.5,9.5,8.5,9.5,8,,,,,,
10,1.5,8.3,10,8.1,8.7,4.1,,,,,,
11,0,8.3,8.7,8.6,8.5,3.3,,,,,,
12,5.8,8,9.3,7.5,8.3,0,,,,,,
13,0,8.1,8.6,8.5,8.4,7,,,,,,
14,2,3.1,7.8,7.6,11.2,6.1,,,,,,
15,3.3,3.8,9.7,7.1,9.6,5.2,,,,,,
16,8.2,4.1,9.7,6.8,8.1,2.1,,,,,,
17,5.3,5.7,7.1,7.6,7.1,1,,,,,,
18,7,7,9.5,7.5,6.4,10.2,,,,,,
19,5.6,7,9.5,6.5,5.3,9.5,,,,,,
20,5.3,8.6,9.5,8.5,2.1,8.5,,,,,,
21,7,8.7,7.6,2.4,1,5,,,,,,
22,8.3,5.1,3.8,3,0.8,5.5,,,,,,
23,5.7,6,6.8,5.3,9.5,7.1,,,,,,
24,7.5,1.1,9.5,0,4,2.4,,,,,,
25,5.1,4.1,10,9.1,5.1,5.3,,,,,,
26,5.4,9.4,9.4,2.3,4,4.5,,,,,,
27,1.8,4.8,9.6,7.5,4.7,3.2,,,,,,
28,3.8,9.8,10.1,4,8.7,3.3,,,,,,
29,3.9,,5.2,8.2,0,4.5,,,,,,
30,5.5,,4.8,4.1,4.8,7.4,,,,,,
31,0,,6,,6.5,,,,,,,
